Country,Year,GDPWorld
Botswana,1/01/2005 0:00,0.036
Botswana,1/01/2006 0:00,0.037
Botswana,1/01/2007 0:00,0.039
Botswana,1/01/2008 0:00,0.039
Botswana,1/01/2009 0:00,0.036
Botswana,1/01/2010 0:00,0.037
Brazil,1/01/1990 0:00,3.314
Brazil,1/01/1991 0:00,3.282
Brazil,1/01/1992 0:00,2.975
Brazil,1/01/1993 0:00,3.051
Brazil,1/01/1994 0:00,3.115
Brazil,1/01/1995 0:00,3.137
Brazil,1/01/1996 0:00,3.089
Brazil,1/01/1997 0:00,3.066
Brazil,1/01/1998 0:00,2.99
Brazil,1/01/1999 0:00,2.895
Brazil,1/01/2000 0:00,2.884
Brazil,1/01/2001 0:00,2.858
Brazil,1/01/2002 0:00,2.855
Brazil,1/01/2003 0:00,2.782
Brazil,1/01/2004 0:00,2.797
Brazil,1/01/2005 0:00,2.749
Brazil,1/01/2006 0:00,2.718
Brazil,1/01/2007 0:00,2.741
Brazil,1/01/2008 0:00,2.81
Brazil,1/01/2009 0:00,2.82
Brazil,1/01/2010 0:00,2.886
Brazil,1/01/2011 0:00,2.86
Brunei,1/01/1990 0:00,0.039
Brunei,1/01/1991 0:00,0.039
Brunei,1/01/1992 0:00,0.037
Brunei,1/01/1993 0:00,0.037
Brunei,1/01/1994 0:00,0.037
Brunei,1/01/1995 0:00,0.037
Brunei,1/01/1996 0:00,0.037
Brunei,1/01/1997 0:00,0.035
Brunei,1/01/1998 0:00,0.034
Brunei,1/01/1999 0:00,0.033
Brunei,1/01/2000 0:00,0.033
Brunei,1/01/2001 0:00,0.033
Brunei,1/01/2002 0:00,0.033
Brunei,1/01/2003 0:00,0.033
Brunei,1/01/2004 0:00,0.032
Brunei,1/01/2005 0:00,0.03
Brunei,1/01/2006 0:00,0.03
Brunei,1/01/2007 0:00,0.029
Brunei,1/01/2008 0:00,0.028
Brunei,1/01/2009 0:00,0.027
Brunei,1/01/2010 0:00,0.027
Brunei,1/01/2011 0:00,0.027
Bulgaria,1/01/1990 0:00,0.264
Bulgaria,1/01/1991 0:00,0.231
Bulgaria,1/01/1992 0:00,0.192
Bulgaria,1/01/1993 0:00,0.167
Bulgaria,1/01/1994 0:00,0.156
Bulgaria,1/01/1995 0:00,0.148
Bulgaria,1/01/1996 0:00,0.131
Bulgaria,1/01/1997 0:00,0.118
Bulgaria,1/01/1998 0:00,0.12
Bulgaria,1/01/1999 0:00,0.119
Bulgaria,1/01/2000 0:00,0.119
Bulgaria,1/01/2001 0:00,0.122
Bulgaria,1/01/2002 0:00,0.124
Bulgaria,1/01/2003 0:00,0.126
Bulgaria,1/01/2004 0:00,0.127
Bulgaria,1/01/2005 0:00,0.133
Bulgaria,1/01/2006 0:00,0.135
Bulgaria,1/01/2007 0:00,0.136
Bulgaria,1/01/2008 0:00,0.141
Bulgaria,1/01/2009 0:00,0.134
Bulgaria,1/01/2010 0:00,0.128
Bulgaria,1/01/2011 0:00,0.126
Burkina Faso,1/01/1990 0:00,0.02
Burkina Faso,1/01/1991 0:00,0.022
Burkina Faso,1/01/1992 0:00,0.02
Burkina Faso,1/01/1993 0:00,0.02
Burkina Faso,1/01/1994 0:00,0.02
Burkina Faso,1/01/1995 0:00,0.02
Burkina Faso,1/01/1996 0:00,0.022
Burkina Faso,1/01/1997 0:00,0.022
Burkina Faso,1/01/1998 0:00,0.023
Burkina Faso,1/01/1999 0:00,0.024
Burkina Faso,1/01/2000 0:00,0.023
Burkina Faso,1/01/2001 0:00,0.024
Burkina Faso,1/01/2002 0:00,0.025
Burkina Faso,1/01/2003 0:00,0.026
Burkina Faso,1/01/2004 0:00,0.024
Burkina Faso,1/01/2005 0:00,0.025
Burkina Faso,1/01/2006 0:00,0.025
Burkina Faso,1/01/2007 0:00,0.025
Burkina Faso,1/01/2008 0:00,0.026
Burkina Faso,1/01/2009 0:00,0.027
Burkina Faso,1/01/2010 0:00,0.028
Burkina Faso,1/01/2011 0:00,0.028
Burundi,1/01/1990 0:00,0.011
Burundi,1/01/1991 0:00,0.011
Burundi,1/01/1992 0:00,0.01
Burundi,1/01/1993 0:00,0.009
Burundi,1/01/1994 0:00,0.009
Burundi,1/01/1995 0:00,0.008
Burundi,1/01/1996 0:00,0.007
