Country,Date,foreignlongterm,foreignshortterm,foreignoutlookWatch,locallongterm,localoutlookWatch
Ecuador,24/03/2003,CCC+,C,positive,-,
Ecuador,8/11/2002,CCC+,C,stable,-,
"Egypt, Arab Rep.",15/06/2012,B+,B,negative,B+,negative
"Egypt, Arab Rep.",30/12/2011,BB-,B,negative,BB,negative
"Egypt, Arab Rep.",28/06/2011,BB,B,negative,BB+,negative
"Egypt, Arab Rep.",3/02/2011,BB,B,Rating Watch negative,BB+,Rating Watch negative
"Egypt, Arab Rep.",28/01/2011,BB+,B,negative,BBB-,negative
"Egypt, Arab Rep.",18/08/2008,BB+,B,stable,BBB-,stable
"Egypt, Arab Rep.",18/06/2007,BB+,B,positive,BBB,stable
"Egypt, Arab Rep.",15/12/2004,BB+,B,stable,BBB,stable
"Egypt, Arab Rep.",2/12/2003,BB+,B,stable,BBB,negative
"Egypt, Arab Rep.",21/08/2002,BB+,B,stable,BBB,stable
"Egypt, Arab Rep.",22/01/2002,BBB-,F3,negative,BBB+,negative
"Egypt, Arab Rep.",22/08/2001,BBB-,F3,stable,BBB+,stable
"Egypt, Arab Rep.",21/09/2000,BBB-,F3,stable,A-,stable
"Egypt, Arab Rep.",19/08/1997,BBB-,F3,,A-,
El Salvador,24/07/2012,BB,B,negative,BB,negative
El Salvador,29/07/2011,BB,B,stable,BB,stable
El Salvador,18/06/2009,BB,B,negative,BB,negative
El Salvador,13/10/2008,BB+,B,negative,BB+,negative
El Salvador,31/01/2005,BB+,B,stable,BB+,stable
El Salvador,21/08/2002,BB+,B,negative,BB+,negative
El Salvador,16/08/2001,BB+,B,stable,BB+,stable
El Salvador,21/09/2000,BB+,B,stable,BBB,stable
El Salvador,8/05/2000,BB+,B,,BBB,
El Salvador,5/05/1998,BB+,B,,A-,
El Salvador,23/09/1996,BB,B,,A-,
Estonia,5/07/2011,A+,F1,stable,A+,stable
Estonia,19/07/2010,A,F1,stable,A,stable
Estonia,30/03/2010,BBB+,F2,Rating Watch positive,A-,Rating Watch positive
Estonia,5/02/2010,BBB+,F2,stable,A-,stable
Estonia,8/04/2009,BBB+,F2,negative,A-,negative
Estonia,3/10/2008,A-,F1,negative,A,negative
Estonia,31/01/2008,A,F1,negative,A+,negative
Estonia,31/08/2006,A,F1,stable,A+,stable
Estonia,7/07/2004,A,F1,positive,A+,stable
Estonia,22/10/2003,A-,F1,positive,A+,stable
Estonia,30/08/2001,A-,F1,stable,A+,stable
Estonia,30/07/2001,BBB+,F2,Rating Watch positive,A,Rating Watch positive
Estonia,28/09/2000,BBB+,F2,stable,A,stable
Estonia,7/08/2000,BBB,F3,Rating Watch positive,A,Rating Watch positive
Estonia,11/09/1997,BBB,F3,,A,
Finland,21/09/2000,AAA,F1+,stable,AAA,stable
Finland,5/08/1998,AAA,F1+,,AAA,
Finland,14/07/1998,AA+,F1+,,AA+,
Finland,29/04/1997,AA+,F1+,,AAA,
Finland,12/03/1996,AA,F1+,,AAA,
Finland,26/10/1995,AA-,F1+,,AAA,
Finland,10/08/1994,AA-,,,-,
France,16/12/2011,AAA,F1+,negative,AAA,negative
France,21/09/2000,AAA,F1+,stable,AAA,stable
France,26/10/1995,AAA,F1+,,AAA,
France,10/08/1994,AAA,,,-,
Gabon,5/04/2012,BB-,B,positive,BB-,positive
Gabon,29/10/2007,BB-,B,stable,BB-,stable
"Gambia, The",6/07/2007,-,,,-,
"Gambia, The",21/12/2005,CCC,C,stable,CCC,stable
"Gambia, The",26/01/2005,CCC+,C,stable,CCC+,stable
"Gambia, The",11/11/2002,B-,B,stable,B-,stable
Georgia,15/12/2011,BB-,B,stable,BB-,stable
Georgia,3/03/2011,B+,B,positive,B+,positive
Georgia,26/08/2009,B+,B,stable,B+,stable
Georgia,7/04/2009,B+,B,Rating Watch negative,B+,Rating Watch negative
Georgia,8/08/2008,B+,B,negative,B+,negative
Georgia,18/07/2007,BB-,B,stable,BB-,stable
Germany,21/09/2000,AAA,F1+,stable,AAA,stable
Germany,26/10/1995,AAA,F1+,,AAA,
Germany,10/08/1994,AAA,,,-,
Ghana,24/09/2010,B+,B,stable,B+,stable
Ghana,3/03/2009,B+,B,negative,B+,negative
Ghana,7/02/2008,B+,B,stable,B+,stable
Ghana,1/02/2006,B+,B,positive,B+,positive
Ghana,17/03/2005,B+,B,stable,B+,stable
Ghana,2/12/2003,B,B,positive,B,positive
Greece,17/05/2012,CCC,C,,CCC,
Greece,13/03/2012,B-,B,stable,B-,stable
Greece,9/03/2012,RD,C,,RD,
Greece,22/02/2012,C,C,,C,
Greece,13/07/2011,CCC,C,,CCC,
Greece,20/05/2011,B+,B,Rating Watch negative,B+,Rating Watch negative
Greece,14/01/2011,BB+,B,negative,BB+,negative
Greece,21/12/2010,BBB-,F2,Rating Watch negative,BBB-,Rating Watch negative
Greece,9/04/2010,BBB-,F2,negative,BBB-,negative
Greece,8/12/2009,BBB+,F2,negative,BBB+,negative
Greece,22/10/2009,A-,F1,negative,A-,negative
Greece,12/05/2009,A,F1,negative,A,negative
