Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Brunei Darussalam,BRN,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244353671,234736683.6,213695769.1,236282894.4,263191332.4,247945347,268294513,303595522.4,316274201.7,936987884.7,959880729.1,974104725.7,996456439.1,1011260212,
Bhutan,BTN,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18177449.51,26393912.34,34697118.39,21074608.25,16391750.31,16648266.59,17411648.15,17607092.56,19424326.02,
Botswana,BWA,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,47058333.5,59340014.9,68293057.67,58926024.97,72269347.58,102158319.8,106006856.1,82357216.4,82685626.79,92654398.35,84885330.35,116542415.4,171774963.3,220115252.9,244778136.7,416186089.6,483093061.9,542108568.7,554543297.3,230756723.7,483189084,501691436.2,622072644.2,622680719.8,429785927.1,378138698.7,358336423.8,268360614.8,382625720.5,256665225.4,461962087,528547138,523986532,474742096,296766964.9,255571252,249554215,212716561.5,208345015.5,230926287.5,
Central African Republic,CAF,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,2755620.578,3691461.853,2590239.474,4354420.371,7967425.117,4972516.459,3104448.805,2727959.3,6655344.972,2838530.877,2771709.35,,652020.6538,760289.2815,5483736.668,6422563.884,4456803.587,,,,,,,,,,,,,,,,,,,,,,
Canada,CAN,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,261521707.2,311154206.3,372543764.3,413856135.3,536955838.7,591917121.7,697782214,676978717.6,868808100.4,1194327862,1921546480,1688624618,1271204684,2722596601,3925964216,3492178560,3265649210,3981394408,4312010334,7679491484,7867854394,9589833997,11652336500,8548537274,11282422713,10218681351,8478175783,9295622240,13678348958,13841888144,15536097614,13541977923,11933827636,11209326714,15961412915,19479622950,19884698568,24555974782,21822763785,22572819730,25053181209,17094611893,19585723617,21188245580,29569722659,40801236733,58855077475,72553097174,66166567195,49357095629,61097616874,70115874893,73707180443,73049887238,77349890511,
Central Europe and the Baltics,CEB,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2197748653,2937245119,4535611162,5454397806,6256153684,7450123475,6386906722,8258024982,9935931148,9313209574,11864723113,19562014666,27851682137,39644090829,51238824768,61627437606,48951757725,50550010395,53296361393,53827267204,54680060086,52069509331,
Switzerland,CHE,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,4953141741,7074845153,8804823412,10867046279,12330458324,11958971081,10521443293,11104900663,10905835071,14012878122,17532957422,20057404497,22697006281,28685499013,27520522551,26238741969,25152260961,26747240334,31574523085,32996820414,35065776668,45926051042,49219694943,61319275685,52641662316,42017343511,63591035234,72824163997,1.03633E+11,1.11265E+11,1.26056E+11,88904443164,95388094575,1.24953E+11,1.10287E+11,1.20907E+11,1.19785E+11,1.29167E+11,
Channel Islands,CHI,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,4000000,12000000,18000000,43000000,126000000,308000000,606000000,512000000,203000000,322000000,200800000,228400000,175800000,184900000,242800000,484100000,576200000,557700000,501800000,556400000,868500000,841700480.6,1169900000,1196100000,912282589.6,1597635510,1458294450,1113692575,1552370933,1983113974,2452106777,3374369834,6324960406,5928086695,6570795293,6797076336,7007064420,8179704942,8294912439,8622619724,
China,CHN,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,1092000000,1549000000,2008000000,1478000000,1100000000,976000000,1469000000,1894000000,3017000000,3719000000,5595000000,4390000000,5737000000,5191260000,7318000000,5710000000,5584000000,8330000000,12549886000,9388000000,8343959799,16094692748,20557461961,39272833557,54563185729,83476171503,1.11787E+11,1.08251E+11,1.42424E+11,1.44268E+11,1.67037E+11,1.83973E+11,2.12961E+11,
Cote d'Ivoire,CIV,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193896070.1,196173150.2,218064351.2,236601771.4,221890849.5,217291890.9,207607511.8,207719663.9,207234796.7,,
Cameroon,CMR,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,8099977.771,16263703.48,12410584.78,38337831.52,29772041.2,14850599.95,28157849.26,35655709.64,38084599.49,36932665.22,12444409.33,16921370.29,16833417.84,8300742.88,18326385.63,41822224.82,16986707.81,19938592.17,12361052.7,37576402.46,19033892.35,55349269.9,37857289.04,26221098.47,47426294.34,42631998.43,108484112.1,105066432,44918352.55,46292709.61,66883416.85,65807624.26,131431177.1,93052974.38,163150092.2,205695236.6,167711103.8,,
"Congo, Rep.",COG,"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,,,,,,,,,3412275.663,3309489.274,8022546.226,16600949.05,19634440.75,5445250.439,6538405.805,9132735.926,8073786.705,30532058.82,7470247.795,2194300.277,14691580.32,18787203.84,12467329.89,11300928.27,1981251.255,8626692.536,9291325.226,5924587.042,3991851.71,29556643.91,13973780.25,15233851.83,6169401.401,10323463.11,13250428.32,17631396.56,20080701.1,23369030.37,,,,,,,,
