Country,Year,RealInterestRate
Belarus,1/01/2000 0:00,-41.22955676
Belarus,1/01/2001 0:00,-18.14018626
Belarus,1/01/2002 0:00,-5.528469216
Belarus,1/01/2003 0:00,-5.134716961
Belarus,1/01/2004 0:00,-4.700862889
Belarus,1/01/2005 0:00,-6.399672646
Belarus,1/01/2006 0:00,-1.72186698
Belarus,1/01/2007 0:00,-3.807571487
Belarus,1/01/2008 0:00,-10.44729493
Belarus,1/01/2009 0:00,5.668974778
Belarus,1/01/2010 0:00,-1.669932704
Belarus,1/01/2011 0:00,-33.651529
Belarus,1/01/2012 0:00,-31.88974384
Belarus,1/01/2013 0:00,-1.617163359
Belarus,1/01/2014 0:00,0.584179915
Belgium,1/01/1994 0:00,7.172154822
Belgium,1/01/1995 0:00,7.109111345
Belgium,1/01/1996 0:00,6.692910039
Belgium,1/01/1997 0:00,6.108108115
Belgium,1/01/1998 0:00,5.394382068
Belgium,1/01/1999 0:00,6.10492856
Belgium,1/01/2000 0:00,5.837633978
Belgium,1/01/2001 0:00,6.225973395
Belgium,1/01/2002 0:00,5.928718331
Belgium,1/01/2003 0:00,4.829628237
Belgium,1/01/2004 0:00,4.627978736
Belgium,1/01/2005 0:00,4.488868231
Belgium,1/01/2006 0:00,5.058050244
Belgium,1/01/2007 0:00,6.380994558
Belgium,1/01/2008 0:00,7.117834487
Belgium,1/01/2009 0:00,8.619374976
Belize,1/01/1994 0:00,10.7991713
Belize,1/01/1995 0:00,9.062155711
Belize,1/01/1996 0:00,14.05456784
Belize,1/01/1997 0:00,18.03479026
Belize,1/01/1998 0:00,14.77522527
Belize,1/01/1999 0:00,18.93143192
Belize,1/01/2000 0:00,15.47509252
Belize,1/01/2001 0:00,15.71183541
Belize,1/01/2002 0:00,12.85598191
Belize,1/01/2003 0:00,17.71663367
Belize,1/01/2004 0:00,11.62937115
Belize,1/01/2005 0:00,11.27288878
Belize,1/01/2006 0:00,9.313076916
Belize,1/01/2007 0:00,9.049586259
Belize,1/01/2008 0:00,11.10433318
Belize,1/01/2009 0:00,17.61682915
Belize,1/01/2010 0:00,12.60215091
Belize,1/01/2011 0:00,8.751241602
Belize,1/01/2012 0:00,10.29845686
Belize,1/01/2013 0:00,9.754789542
Belize,1/01/2014 0:00,9.73543002
Bhutan,1/01/1994 0:00,2.789503301
Bhutan,1/01/1995 0:00,7.359871083
Bhutan,1/01/1996 0:00,7.35161735
Bhutan,1/01/1997 0:00,3.124496638
Bhutan,1/01/1998 0:00,4.968226986
Bhutan,1/01/1999 0:00,7.971952603
Bhutan,1/01/2000 0:00,13.40727262
Bhutan,1/01/2001 0:00,9.959208603
Bhutan,1/01/2002 0:00,9.886214869
Bhutan,1/01/2003 0:00,11.55834207
Bhutan,1/01/2004 0:00,10.7996596
Bhutan,1/01/2005 0:00,7.691502857
Bhutan,1/01/2006 0:00,8.147905979
Bhutan,1/01/2007 0:00,10.56082808
Bhutan,1/01/2008 0:00,7.663693404
Bhutan,1/01/2009 0:00,8.487022103
Bhutan,1/01/2010 0:00,7.56187268
Bhutan,1/01/2011 0:00,4.965450811
Bhutan,1/01/2012 0:00,4.414021052
Bhutan,1/01/2013 0:00,7.684930659
Bhutan,1/01/2014 0:00,6.114831782
Bolivia,1/01/1994 0:00,44.11315513
Bolivia,1/01/1995 0:00,35.53009504
Bolivia,1/01/1996 0:00,39.77986618
Bolivia,1/01/1997 0:00,41.95160079
Bolivia,1/01/1998 0:00,30.22905004
Bolivia,1/01/1999 0:00,32.18152246
Bolivia,1/01/2000 0:00,27.9483965
Bolivia,1/01/2001 0:00,17.85309681
Bolivia,1/01/2002 0:00,17.32305775
Bolivia,1/01/2003 0:00,10.65860797
Bolivia,1/01/2004 0:00,6.022332749
Bolivia,1/01/2005 0:00,10.07566935
Bolivia,1/01/2006 0:00,-1.559334019
Bolivia,1/01/2007 0:00,5.110629359
Bolivia,1/01/2008 0:00,3.163719152
Bolivia,1/01/2009 0:00,15.1460393
Bolivia,1/01/2010 0:00,1.041041337
Bolivia,1/01/2011 0:00,-3.217177954
Bolivia,1/01/2012 0:00,3.767190325
Bolivia,1/01/2013 0:00,4.770029489
Bolivia,1/01/2014 0:00,7.491199044
Bosnia and Herzegovina,1/01/1998 0:00,76.28875606
Bosnia and Herzegovina,1/01/1999 0:00,30.33084306
Bosnia and Herzegovina,1/01/2000 0:00,1.327636042
Bosnia and Herzegovina,1/01/2002 0:00,7.882563451
Bosnia and Herzegovina,1/01/2003 0:00,9.867584959
Bosnia and Herzegovina,1/01/2004 0:00,7.515824401
Bosnia and Herzegovina,1/01/2005 0:00,5.949233295
Bosnia and Herzegovina,1/01/2006 0:00,0.839187713
Bosnia and Herzegovina,1/01/2007 0:00,0.720559004
Bosnia and Herzegovina,1/01/2008 0:00,-0.234813377
Bosnia and Herzegovina,1/01/2009 0:00,7.921646266
Bosnia and Herzegovina,1/01/2010 0:00,6.297785906
Bosnia and Herzegovina,1/01/2011 0:00,4.700293618
Bosnia and Herzegovina,1/01/2012 0:00,5.756207404
Bosnia and Herzegovina,1/01/2013 0:00,7.354931301
Bosnia and Herzegovina,1/01/2014 0:00,4.780068212
Botswana,1/01/1994 0:00,4.067885118
Botswana,1/01/1995 0:00,6.776493721
Botswana,1/01/1996 0:00,-1.388480661
Botswana,1/01/1997 0:00,8.23043537
Botswana,1/01/1998 0:00,3.636072028
Botswana,1/01/1999 0:00,0.473255913
Botswana,1/01/2000 0:00,1.145825257
Botswana,1/01/2001 0:00,6.866384387
Botswana,1/01/2002 0:00,14.844701
Botswana,1/01/2003 0:00,12.7261594
Botswana,1/01/2004 0:00,5.151956567
Botswana,1/01/2005 0:00,0.230180572
Botswana,1/01/2006 0:00,8.360417366
Botswana,1/01/2007 0:00,10.76077592
Botswana,1/01/2008 0:00,11.27537452
Botswana,1/01/2009 0:00,6.85043719
Botswana,1/01/2010 0:00,2.330351095
Botswana,1/01/2011 0:00,-4.651281924
Botswana,1/01/2012 0:00,10.72408176
Botswana,1/01/2013 0:00,7.913407493
Botswana,1/01/2014 0:00,0.882678827
Brazil,1/01/1997 0:00,65.41059862
Brazil,1/01/1998 0:00,77.63217829
Brazil,1/01/1999 0:00,67.00298439
Brazil,1/01/2000 0:00,48.71375776
Brazil,1/01/2001 0:00,45.81464979
Brazil,1/01/2002 0:00,48.19180191
Brazil,1/01/2003 0:00,46.62171395
Brazil,1/01/2004 0:00,43.75127868
