country Code,Year,DebtGDP
CZE,2001,27.95992
CZE,2002,30.14341
CZE,2003,32.56519
CZE,2004,32.22301
CZE,2005,31.87026
CZE,2006,31.57946
CZE,2007,30.25117
CZE,2008,34.20246
CZE,2009,41.01364
CZE,2010,45.79104
CZE,2011,48.07413
CZE,2012,57.81335
CZE,2013,57.91832
CZE,2014,57.0467
DNK,1995,81.55618
DNK,1996,79.12813
DNK,1997,75.0022
DNK,1998,72.57375
DNK,1999,67.09552
DNK,2000,60.45578
DNK,2001,58.27706
DNK,2002,58.14748
DNK,2003,56.06915
DNK,2004,52.36301
DNK,2005,45.10371
DNK,2006,40.48177
DNK,2007,34.58549
DNK,2008,42.03144
DNK,2009,49.49534
DNK,2010,53.80605
DNK,2011,60.55217
DNK,2012,61.01369
DNK,2013,57.46948
DNK,2014,60.03174
FIN,1995,62.91246
FIN,1996,63.75857
FIN,1997,62.16655
FIN,1998,59.1193
FIN,1999,53.01719
FIN,2000,51.01093
FIN,2001,48.40519
FIN,2002,48.23621
FIN,2003,49.1941
FIN,2004,49.39707
FIN,2005,46.53166
FIN,2006,43.08167
FIN,2007,39.09392
FIN,2008,38.27919
FIN,2009,49.23079
FIN,2010,55.06467
FIN,2011,57.52048
FIN,2012,63.44366
FIN,2013,64.28262
FIN,2014,70.87661
FIN,2015,74.63517
FRA,1995,66.58996
FRA,1996,72.58565
FRA,1997,75.24718
FRA,1998,77.02315
FRA,1999,73.45506
FRA,2000,71.90485
FRA,2001,70.98895
FRA,2002,74.64314
FRA,2003,78.51265
FRA,2004,80.01929
FRA,2005,81.66552
FRA,2006,76.85946
FRA,2007,75.56451
FRA,2008,81.51089
FRA,2009,93.15648
FRA,2010,96.82564
FRA,2011,100.6963
FRA,2012,110.4441
FRA,2013,110.1268
FRA,2014,119.1881
DEU,1995,54.2217
DEU,1996,57.2963
DEU,1997,58.75877
DEU,1998,60.46764
DEU,1999,59.99434
DEU,2000,59.79518
DEU,2001,58.9257
DEU,2002,61.34826
DEU,2003,64.8178
DEU,2004,67.72873
DEU,2005,70.25581
DEU,2006,68.35295
DEU,2007,64.31353
DEU,2008,68.12452
DEU,2009,75.55335
DEU,2010,84.05901
DEU,2011,83.48793
DEU,2012,86.367
DEU,2013,81.56008
DEU,2014,82.22421
GRC,1995,97.84429
GRC,1996,98.98184
GRC,1997,95.37683
GRC,1998,92.73283
GRC,1999,96.08636
GRC,2000,111.2191
GRC,2001,112.8921
GRC,2002,110.9725
GRC,2003,105.712
GRC,2004,107.1998
GRC,2005,111.3183
GRC,2006,115.7789
GRC,2007,113.1486
GRC,2008,117.4331
GRC,2009,134.704
GRC,2010,128.407
GRC,2011,110.67
GRC,2012,167.0213
GRC,2013,181.7227
GRC,2014,179.7565
HUN,1995,88.54827
HUN,1996,76.55391
HUN,1997,66.01597
HUN,1998,65.03449
HUN,1999,66.7104
HUN,2000,60.95195
HUN,2001,58.92162
HUN,2002,59.96338
HUN,2003,60.71071
HUN,2004,64.0806
HUN,2005,67.1235
HUN,2006,70.73196
HUN,2007,71.46198
HUN,2008,75.02068
HUN,2009,84.10934
HUN,2010,86.00735
HUN,2011,95.00625
HUN,2012,97.88973
HUN,2013,95.99051
HUN,2014,99.35197
HUN,2015,98.0722
IRL,1998,61.2826
IRL,1999,50.48506
IRL,2000,38.7247
IRL,2001,35.56718
IRL,2002,34.0613
IRL,2003,32.86953
IRL,2004,31.47911
IRL,2005,31.37589
IRL,2006,27.59631
IRL,2007,27.43821
IRL,2008,47.4947
IRL,2009,67.82793
IRL,2010,84.60047
IRL,2011,109.1882
IRL,2012,129.7275
IRL,2013,133.0198
IRL,2014,125.3722
ITA,1995,121.2692
ITA,1996,127.12
ITA,1997,128.692
ITA,1998,130.669
ITA,1999,123.7456
ITA,2000,118.9925
ITA,2001,118.1393
ITA,2002,116.9573
ITA,2003,114.2855
ITA,2004,114.6941
ITA,2005,117.432
ITA,2006,115.0134
ITA,2007,110.6803
ITA,2008,112.9778
ITA,2009,125.9495
ITA,2010,124.8662
ITA,2011,117.8523
ITA,2012,136.104
ITA,2013,143.3927
ITA,2014,156.4238
JPN,1995,93.76089
JPN,1996,100.587
JPN,1997,109.7228
JPN,1998,120.6599
JPN,1999,133.4102
JPN,2000,144.5019
JPN,2001,151.3678
JPN,2002,161.7529
JPN,2003,172.2588
JPN,2004,178.7583
JPN,2005,180.1949
JPN,2006,180.015
JPN,2007,180.0182
JPN,2008,184.1986
JPN,2009,207.3291
JPN,2010,210.5011
JPN,2011,226.3331
JPN,2012,234.6704
JPN,2013,239.8091
KOR,2011,47.58566
KOR,2012,49.77315
KOR,2013,50.62133
KOR,2014,53.51981
LUX,2002,12.25596
LUX,2003,13.17004
LUX,2004,14.07118
LUX,2005,12.44589
LUX,2006,11.8514
LUX,2007,11.63112
LUX,2008,19.24231
LUX,2009,18.9381
LUX,2010,26.20637
LUX,2011,26.98074
LUX,2012,30.61716
LUX,2013,29.97486
LUX,2014,33.66964
MEX,2003,42.50157
MEX,2004,38.02132
MEX,2005,35.47486
MEX,2006,34.94726
MEX,2007,37.89299
MEX,2008,41.94946
MEX,2009,44.26487
MEX,2010,40.76575
MEX,2011,46.44099
MEX,2012,49.72492
MEX,2013,49.15042
MEX,2014,45.0888
NLD,1995,85.34338
NLD,1996,83.73054
NLD,1997,78.38673
NLD,1998,76.04125
NLD,1999,67.2706
NLD,2000,60.14627
NLD,2001,56.15822
NLD,2002,56.94711
NLD,2003,58.01793
NLD,2004,57.98957
NLD,2005,57.05276
NLD,2006,50.96873
NLD,2007,48.15908
NLD,2008,60.9749
NLD,2009,63.69239
NLD,2010,67.61107
NLD,2011,71.60137
NLD,2012,77.35119
NLD,2013,76.35502
NLD,2014,81.04169
NOR,1995,37.29676
NOR,1996,32.98238
NOR,1997,29.18619
NOR,1998,27.56312
NOR,1999,28.71318
NOR,2000,32.21119
NOR,2001,31.30658
